epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,539.882,0.5448,0.67178,0.89535,0.78826,0.70182,0.80244,0.67584,0.59102,1.19349,0.99329,0.00996337,0.00996337,0.00996337
113,544.57,0.58609,0.71834,0.88866,0.78826,0.70182,0.80244,0.67584,0.59102,1.19349,0.99329,0.00996304,0.00996304,0.00996304
114,549.314,0.50373,0.63155,0.89232,0.82098,0.76786,0.81798,0.70099,0.61172,1.13213,0.98456,0.00996271,0.00996271,0.00996271
115,554.057,0.52688,0.69094,0.91615,0.86712,0.73452,0.79564,0.69323,0.58217,1.05299,0.95604,0.00996238,0.00996238,0.00996238
116,558.709,0.55362,0.73226,0.88528,0.81679,0.69844,0.78519,0.65945,0.62004,1.11341,0.95957,0.00996205,0.00996205,0.00996205
117,563.474,0.57347,0.81056,0.9151,0.81679,0.69844,0.78519,0.65945,0.62004,1.11341,0.95957,0.00996172,0.00996172,0.00996172
118,568.087,0.54506,0.74877,0.8783,0.83058,0.68835,0.78491,0.72444,0.52844,1.14253,0.93293,0.00996139,0.00996139,0.00996139
119,572.832,0.54509,0.6803,0.89637,0.82857,0.69286,0.77964,0.68619,0.57846,1.23336,0.95603,0.00996106,0.00996106,0.00996106
120,577.532,0.49048,0.64652,0.87556,0.82259,0.70337,0.78919,0.68086,0.64118,1.30439,0.98199,0.00996073,0.00996073,0.00996073
121,582.121,0.5373,0.7053,0.87336,0.82259,0.70337,0.78919,0.68086,0.64118,1.30439,0.98199,0.0099604,0.0099604,0.0099604
122,586.829,0.5315,0.70863,0.90847,0.84169,0.70352,0.7773,0.69362,0.63682,1.14923,0.98202,0.00996007,0.00996007,0.00996007
123,591.488,0.4759,0.66101,0.87276,0.81915,0.72266,0.77353,0.69467,0.63295,1.09805,0.97938,0.00995974,0.00995974,0.00995974
124,596.146,0.5396,0.69251,0.89022,0.83104,0.73105,0.77109,0.6911,0.58645,1.16853,0.954,0.00995941,0.00995941,0.00995941
125,600.855,0.57403,0.74701,0.90296,0.83104,0.73105,0.77109,0.6911,0.58645,1.16853,0.954,0.00995908,0.00995908,0.00995908
126,605.55,0.48767,0.63365,0.8866,0.8149,0.70119,0.76971,0.67697,0.57754,1.17377,0.93431,0.00995875,0.00995875,0.00995875
127,610.221,0.49286,0.597,0.88252,0.79095,0.68976,0.77116,0.69687,0.57463,1.25852,0.93557,0.00995842,0.00995842,0.00995842
128,614.881,0.5105,0.63462,0.8945,0.81994,0.66564,0.7515,0.66218,0.55106,1.15822,0.92606,0.00995809,0.00995809,0.00995809
129,619.522,0.46188,0.58338,0.85785,0.81994,0.66564,0.7515,0.66218,0.55106,1.15822,0.92606,0.00995776,0.00995776,0.00995776
130,624.147,0.46365,0.65303,0.85776,0.781,0.66111,0.75441,0.64124,0.62462,1.22056,0.95461,0.00995743,0.00995743,0.00995743
131,628.754,0.55876,0.64138,0.90445,0.78187,0.70119,0.74165,0.6259,0.6815,1.13599,0.99919,0.0099571,0.0099571,0.0099571
132,633.4,0.56108,0.6665,0.90213,0.78712,0.69763,0.74066,0.6457,0.64203,1.17963,0.97993,0.00995677,0.00995677,0.00995677
133,638.006,0.58193,0.72934,0.91723,0.78712,0.69763,0.74066,0.6457,0.64203,1.17963,0.97993,0.00995644,0.00995644,0.00995644
134,642.678,0.44552,0.64194,0.87396,0.92724,0.60854,0.72205,0.63583,0.63098,1.26842,0.98184,0.00995611,0.00995611,0.00995611
135,647.34,0.43655,0.57416,0.8909,0.77258,0.69028,0.73581,0.65953,0.56387,1.19508,0.93133,0.00995578,0.00995578,0.00995578
136,651.963,0.51684,0.59847,0.89078,0.79878,0.65128,0.74151,0.64198,0.62352,1.23278,0.95616,0.00995545,0.00995545,0.00995545
137,656.633,0.59049,0.62419,0.89263,0.79878,0.65128,0.74151,0.64198,0.62352,1.23278,0.95616,0.00995512,0.00995512,0.00995512
138,661.319,0.51819,0.59619,0.90054,0.81853,0.66082,0.74532,0.65835,0.56704,1.1849,0.93984,0.00995479,0.00995479,0.00995479
139,666.088,0.46398,0.57729,0.8825,0.75433,0.69704,0.74971,0.667,0.63444,1.20651,0.98413,0.00995446,0.00995446,0.00995446
140,670.762,0.56299,0.59809,0.90788,0.7448,0.70119,0.74783,0.65009,0.59095,1.17446,0.96638,0.00995413,0.00995413,0.00995413
141,675.403,0.47773,0.58842,0.86699,0.7448,0.70119,0.74783,0.65009,0.59095,1.17446,0.96638,0.0099538,0.0099538,0.0099538
